"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","136,190","136,190"
"        In labor force","87,836","64.5%"
"            Civilian labor force","87,453","64.2%"
"                Employed","83,582","61.4%"
"                Unemployed","3,871","2.8%"
"            Armed Forces","383","0.3%"
"        Not in labor force","48,354","35.5%"
"    Civilian labor force","87,453","87,453"
"        Unemployment Rate","(X)","4.4%"
"    Females 16 years and over","72,517","72,517"
"        In labor force","42,549","58.7%"
"            Civilian labor force","42,306","58.3%"
"                Employed","41,179","56.8%"
"    Own children of the householder under 6 years","11,134","11,134"
"        All parents in family in labor force","7,390","66.4%"
"    Own children of the householder 6 to 17 years","23,904","23,904"
"        All parents in family in labor force","15,830","66.2%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","82,176","82,176"
"        Car, truck, or van -- drove alone","63,960","77.8%"
"        Car, truck, or van -- carpooled","8,418","10.2%"
"        Public transportation (excluding taxicab)","508","0.6%"
"        Walked","977","1.2%"
"        Other means","1,248","1.5%"
"        Worked at home","7,065","8.6%"
"    Mean travel time to work (minutes)","29.6","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","83,582","83,582"
"        Management, business, science, and arts occupations","35,824","42.9%"
"        Service occupations","12,458","14.9%"
"        Sales and office occupations","23,932","28.6%"
"        Natural resources, construction, and maintenance occupations","5,539","6.6%"
"        Production, transportation, and material moving occupations","5,829","7.0%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","83,582","83,582"
"        Agriculture, forestry, fishing and hunting, and mining","210","0.3%"
"        Construction","5,579","6.7%"
"        Manufacturing","6,046","7.2%"
"        Wholesale trade","2,411","2.9%"
"        Retail trade","11,804","14.1%"
"        Transportation and warehousing, and utilities","3,975","4.8%"
"        Information","2,023","2.4%"
"        Finance and insurance, and real estate and rental and leasing","9,922","11.9%"
"        Professional, scientific, and management, and administrative and waste management services","9,478","11.3%"
"        Educational services, and health care and social assistance","18,320","21.9%"
"        Arts, entertainment, and recreation, and accommodation and food services","6,730","8.1%"
"        Other services, except public administration","3,949","4.7%"
"        Public administration","3,135","3.8%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","83,582","83,582"
"        Private wage and salary workers","71,128","85.1%"
"        Government workers","9,375","11.2%"
"        Self-employed in own not incorporated business workers","3,028","3.6%"
"        Unpaid family workers","51","0.1%"
"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","62,112","62,112"
"        Less than $10,000","2,683","4.3%"
"        $10,000 to $14,999","2,208","3.6%"
"        $15,000 to $24,999","5,149","8.3%"
"        $25,000 to $34,999","4,351","7.0%"
"        $35,000 to $49,999","7,787","12.5%"
"        $50,000 to $74,999","9,747","15.7%"
"        $75,000 to $99,999","9,854","15.9%"
"        $100,000 to $149,999","11,721","18.9%"
"        $150,000 to $199,999","4,621","7.4%"
"        $200,000 or more","3,991","6.4%"
"        Median household income (dollars)","72,142","(X)"
"        Mean household income (dollars)","90,327","(X)"
"    With earnings","46,680","75.2%"
"        Mean earnings (dollars)","95,922","(X)"
"    With Social Security","19,877","32.0%"
"        Mean Social Security income (dollars)","20,066","(X)"
"    With retirement income","13,973","22.5%"
"        Mean retirement income (dollars)","23,927","(X)"
"    With Supplemental Security Income","2,018","3.2%"
"        Mean Supplemental Security Income (dollars)","11,322","(X)"
"    With cash public assistance income","831","1.3%"
"        Mean cash public assistance income (dollars)","2,963","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","3,494","5.6%"
"    Families","42,090","42,090"
"        Less than $10,000","930","2.2%"
"        $10,000 to $14,999","416","1.0%"
"        $15,000 to $24,999","1,930","4.6%"
"        $25,000 to $34,999","2,273","5.4%"
"        $35,000 to $49,999","4,423","10.5%"
"        $50,000 to $74,999","6,911","16.4%"
"        $75,000 to $99,999","7,298","17.3%"
"        $100,000 to $149,999","9,976","23.7%"
"        $150,000 to $199,999","4,343","10.3%"
"        $200,000 or more","3,590","8.5%"
"        Median family income (dollars)","89,730","(X)"
"        Mean family income (dollars)","107,036","(X)"
"    Per capita income (dollars)","34,703","(X)"
"    Nonfamily households","20,022","20,022"
"        Median nonfamily income (dollars)","40,927","(X)"
"        Mean nonfamily income (dollars)","52,247","(X)"
"    Median earnings for workers (dollars)","39,324","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","57,478","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","45,692","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","166,775","166,775"
"        With health insurance coverage","156,338","93.7%"
"            With private health insurance","130,321","78.1%"
"            With public coverage","47,742","28.6%"
"        No health insurance coverage","10,437","6.3%"
"    Civilian noninstitutionalized population under 19 years","37,765","37,765"
"        No health insurance coverage","1,812","4.8%"
"    Civilian noninstitutionalized population 19 to 64 years","101,697","101,697"
"        In labor force:","79,921","79,921"
"            Employed:","76,803","76,803"
"                With health insurance coverage","71,024","92.5%"
"                    With private health insurance","66,632","86.8%"
"                    With public coverage","5,848","7.6%"
"                No health insurance coverage","5,779","7.5%"
"            Unemployed:","3,118","3,118"
"                With health insurance coverage","2,402","77.0%"
"                    With private health insurance","1,537","49.3%"
"                    With public coverage","1,038","33.3%"
"                No health insurance coverage","716","23.0%"
"        Not in labor force:","21,776","21,776"
"            With health insurance coverage","19,739","90.6%"
"                With private health insurance","14,177","65.1%"
"                With public coverage","7,554","34.7%"
"            No health insurance coverage","2,037","9.4%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","4.2%"
"        With related children of the householder under 18 years","(X)","6.0%"
"            With related children of the householder under 5 years only","(X)","11.9%"
"    Married couple families","(X)","3.4%"
"        With related children of the householder under 18 years","(X)","4.0%"
"            With related children of the householder under 5 years only","(X)","6.1%"
"    Families with female householder, no husband present","(X)","9.6%"
"        With related children of the householder under 18 years","(X)","14.8%"
"            With related children of the householder under 5 years only","(X)","28.7%"
"    All people","(X)","6.6%"
"        Under 18 years","(X)","5.8%"
"            Related children of the householder under 18 years","(X)","5.8%"
"                Related children of the householder under 5 years","(X)","8.7%"
"                Related children of the householder 5 to 17 years","(X)","4.8%"
"        18 years and over","(X)","6.9%"
"            18 to 64 years","(X)","6.7%"
"            65 years and over","(X)","7.5%"
"    People in families","(X)","4.3%"
"    Unrelated individuals 15 years and over","(X)","18.6%"
