,date,1. open,2. high,3. low,4. close,5. volume
ON,2024-11-25,70.5,73.49,64.32,72.39,94543812.0
ON,2024-10-31,72.47,76.06,65.68,70.49,156620558.0
ON,2024-09-30,76.41,76.41,66.36,72.61,120430908.0
ON,2024-08-30,76.28,78.61,66.18,77.87,141163840.0
ON,2024-07-31,68.96,80.08,66.78,78.25,163555705.0
ON,2024-06-28,74.01,77.22,66.7602,68.55,101093697.0
ON,2024-05-31,68.99,77.2,68.06,73.04,124948136.0
ON,2024-04-30,73.89,74.89,59.34,70.16,167885679.0
ON,2024-03-28,79.16,85.16,72.12,73.55,130775503.0
ON,2024-02-29,71.6,83.43,68.78,78.92,147424374.0
ON,2024-01-31,82.77,83.72,70.7,71.13,180724293.0
ON,2023-12-29,71.25,86.7673,70.885,83.53,116348755.0
ON,2023-11-30,62.5,73.22,61.47,71.33,157728101.0
ON,2023-10-31,93.95,95.64,61.72,62.64,174892393.0
ON,2023-09-29,99.31,101.3,89.28,92.95,87301998.0
ON,2023-08-31,107.73,109.41,88.63,98.46,119709355.0
ON,2023-07-31,95.46,111.35,90.69,107.75,126497937.0
ON,2023-06-30,84.94,95.3171,84.05,94.58,144711603.0
ON,2023-05-31,74.885,89.835,74.17,83.6,171409239.0
ON,2023-04-28,81.715,82.21,66.67,71.96,103203095.0
ON,2023-03-31,78.12,84.97,72.0,82.32,163674328.0
ON,2023-02-28,73.92,87.55,73.69,77.41,168586330.0
ON,2023-01-31,63.95,74.82,59.61,73.45,112796499.0
ON,2022-12-30,75.5,75.92,59.7679,62.37,117147390.0
ON,2022-11-30,62.73,77.2812,58.43,75.2,135433383.0
ON,2022-10-31,63.01,71.5799,54.93,61.43,163169706.0
ON,2022-09-30,66.712,72.92,61.42,62.33,143729108.0
ON,2022-08-31,64.26,76.78,61.72,68.77,200465745.0
ON,2022-07-29,49.29,66.99,44.76,66.78,139365981.0
ON,2022-06-30,61.23,67.185,49.3501,50.31,281428983.0
ON,2022-05-31,53.87,61.84,50.57,60.68,136067101.0
ON,2022-04-29,63.17,63.31,50.6,52.11,118932194.0
ON,2022-03-31,62.51,68.7,53.01,62.61,143581905.0
ON,2022-02-28,59.33,67.13,54.47,62.61,157985798.0
ON,2022-01-31,68.53,71.255,51.02,59.0,153479965.0
ON,2021-12-31,63.0506,70.27,59.54,67.92,139616417.0
ON,2021-11-30,53.75,64.04,51.33,61.43,143734135.0
ON,2021-10-29,45.88,48.22,41.88,48.07,100237658.0
ON,2021-09-30,44.62,49.78,44.24,45.77,104971991.0
ON,2021-08-31,42.9347,46.29,40.85,44.36,148742811.0
ON,2021-07-30,38.4,39.47,34.01,39.06,102047274.0
ON,2021-06-30,40.48,40.79,35.17,38.28,114567540.0
ON,2021-05-28,38.22,40.525,35.12,40.04,133753373.0
ON,2021-04-30,42.25,44.59,38.75,39.0,116727692.0
ON,2021-03-31,42.0,42.38,34.79,41.61,167604798.0
ON,2021-02-26,36.4,42.33,35.64,40.27,141015676.0
ON,2021-01-29,33.05,39.43,32.32,34.49,151807820.0
ON,2020-12-31,29.05,32.93,28.74,32.73,121892465.0
ON,2020-11-30,24.31,29.43,23.86,28.75,168025445.0
ON,2020-10-30,22.4,26.84,21.91,25.09,157020303.0
ON,2020-09-30,21.5,23.12,19.75,21.69,129948611.0
ON,2020-08-31,20.71,23.105,20.45,21.37,115297893.0
ON,2020-07-31,20.17,22.08,19.02,20.6,184742647.0
ON,2020-06-30,16.48,21.38,16.34,19.82,225468500.0
