Year,Smoke Impact
1961,2.222379798771594
1962,1.6400241282420067
1963,0.4008876232719065
1964,1.5119413462516735
1965,0.5447945166799658
1966,1.8102744984186536
1967,2.6114140806262798
1968,2.6587258269567937
1969,0.9731696760312822
1970,13.169338604587605
1971,8.89627307872834
1972,29.217858444374446
1973,3.631550567573475
1974,4.66590600713052
1975,11.157917997225178
1976,6.991775579544032
1977,2.4200603857235867
1978,1.3088634967776243
1979,125.97378008575318
1980,28.00198847428554
1981,3.9453183979316973
1982,1.866400534473422
1983,10.65373382469608
1984,8.921146990184525
1985,9.355187246717495
1986,5.390743260220615
1987,15.354216688618374
1988,29.902326426091285
1989,10.733927619183705
1990,7.525098120716966
1991,3.1010590290034696
1992,11.775792226976032
1993,80.41682279262808
1994,47.15758740998163
1995,85.54860308773452
1996,46.56251160111253
1997,5.069994552281865
1998,45.84207436923021
1999,24.249217669250427
2000,20.997471494885612
2001,25.708788093070535
2002,77.9600612329129
2003,35.48701420717965
2004,79.62072618806198
2005,1081.8076834684296
2006,52.62020410451464
2007,32.822938291253394
2008,42.5885219022156
2009,38.12912391696919
2010,25.191242128791746
2011,63.30909285140457
2012,78.29462468471834
2013,25.730931953872147
2014,22.684926953823147
2015,35.83707801099607
2016,48.91595062964396
2017,152.2945339583689
2018,42.90126268975135
2019,213.50279280582254
2020,255.49888956635277
2021,0.0
